iter	Passed	Remaining
0	0	60
1	1	61
2	2	55
3	2	50
4	3	47
5	3	44
6	4	43
7	4	41
8	5	41
9	5	39
10	6	38
11	6	37
12	7	36
13	7	36
14	8	35
15	8	35
16	9	34
17	9	33
18	10	32
19	10	31
20	11	31
21	11	30
22	11	29
23	12	29
24	13	28
25	13	28
26	13	27
27	14	26
28	14	26
29	15	25
30	15	24
31	16	24
32	16	23
33	17	23
34	17	22
35	17	21
36	18	21
37	18	20
38	19	20
39	19	19
40	19	18
41	20	18
42	20	17
43	21	17
44	21	16
45	21	16
46	22	15
47	22	15
48	23	14
49	23	14
50	24	13
51	24	13
52	24	12
53	25	12
54	25	11
55	26	11
56	27	10
57	27	10
58	28	9
59	28	9
60	28	9
61	29	8
62	29	8
63	30	7
64	30	7
65	31	6
66	31	6
67	31	5
68	32	5
69	32	4
70	33	4
71	33	3
72	34	3
73	34	2
74	34	2
75	35	1
76	35	1
77	36	0
78	36	0
79	36	0
